iter	Passed	Remaining
330	1869	3777
331	1875	3773
332	1880	3767
333	1885	3759
334	1889	3751
335	1895	3745
336	1900	3738
337	1904	3730
338	1910	3724
339	1916	3720
340	1921	3712
341	1925	3705
342	1931	3699
343	1935	3691
344	1940	3684
345	1945	3677
346	1950	3670
347	1955	3663
348	1960	3656
349	1966	3651
350	1970	3644
351	1976	3638
352	1983	3636
353	1989	3630
354	1995	3624
355	2000	3619
356	2007	3615
357	2012	3609
358	2018	3604
359	2023	3597
360	2028	3591
361	2033	3584
362	2039	3578
363	2045	3573
364	2050	3567
365	2055	3560
366	2061	3556
367	2067	3550
368	2072	3544
369	2077	3537
370	2082	3530
371	2087	3524
372	2093	3518
373	2097	3511
374	2103	3505
375	2108	3499
376	2114	3494
377	2121	3490
378	2126	3483
379	2130	3476
380	2135	3469
381	2141	3464
382	2146	3457
383	2151	3450
384	2158	3448
385	2163	3441
386	2168	3434
387	2173	3428
388	2178	3422
389	2185	3417
390	2189	3410
391	2195	3404
392	2203	3403
393	2212	3403
394	2221	3402
395	2229	3399
396	2235	3394
397	2243	3393
398	2248	3387
399	2254	3381
400	2259	3375
401	2265	3369
402	2270	3363
403	2276	3358
404	2281	3352
405	2286	3345
406	2291	3339
407	2297	3333
408	2302	3326
409	2308	3322
410	2313	3315
411	2319	3310
412	2325	3304
413	2329	3296
414	2334	3290
415	2340	3285
416	2346	3280
417	2351	3274
418	2357	3269
419	2363	3263
